Distillery,ComplexityThenBalanceRank,BalanceThenComplexityRank,Complexity,Balance,Category
Bruichladdich,1,1,11,2.36828145754,Best in Both
OldPulteney,2,2,11,2.22485954613,Best in Both
Scapa,3,3,11,2.22485954613,Best in Both
Bowmore,4,7,11,1.88034951158,Best in Both
OldFettercairn,5,8,11,1.88034951158,Best in Both
Dalmore,6,9,11,1.8776690405,Best in Both
RoyalBrackla,7,10,11,1.8776690405,Best in Both
Craigallechie,8,11,11,1.81289419599,Best in One
Highland Park,9,13,11,1.78655172561,Best in One
Bunnahabhain,10,19,11,1.71269767716,Best in One
Aberfeldy,11,4,10,1.99673428156,Best in One
Benromach,12,5,10,1.99673428156,Best in One
BlairAthol,13,6,10,1.99673428156,Best in One
RoyalLochnagar,14,12,10,1.81289419599,
Springbank,15,14,10,1.78655172561,
Mortlach,16,15,10,1.78018190617,
Strathisla,17,16,10,1.78018190617,
Glenturret,18,17,10,1.75860146927,
GlenScotia,19,18,10,1.71269767716,
Glenmorangie,20,20,10,1.71269767716,Popular
Aberlour,21,21,10,1.709665457,
Glenlivet,22,22,10,1.69250800097,Popular
Auchroisk,23,23,10,1.65831239518,
Benrinnes,24,24,10,1.65831239518,
Knochando,25,25,10,1.65831239518,
Loch Lomond,26,26,10,1.65831239518,
Isle of Jura,27,27,10,1.62547127404,
Mannochmore,28,28,10,1.62547127404,
Glendullan,29,29,10,1.58936510121,
GlenOrd,30,30,10,1.57348552514,
Dailuaine,31,31,10,1.55315186049,
Glenfarclas,32,32,10,1.53620606626,
Ardmore,33,33,10,1.5021352324,
Deanston,34,34,10,1.5021352324,
GlenKeith,35,35,10,1.5021352324,
Inchgower,36,36,10,1.5021352324,
Edradour,37,38,10,1.44337567297,
GlenDeveronMacduff,38,39,10,1.44337567297,
Longmorn,39,42,10,1.44337567297,
GlenElgin,40,43,10,1.42206351161,
ArranIsleOf,41,45,10,1.39746146663,
Macallan,42,48,10,1.38994205312,Popular
GlenMoray,43,49,10,1.37979931651,
Caol Ila,44,62,10,1.28452325787,
Lagavulin,45,76,10,1.11298640546,
Dalwhinnie,46,37,9,1.5021352324,
BenNevis,47,40,9,1.44337567297,
Speyside,48,41,9,1.44337567297,
Craigganmore,49,44,9,1.42206351161,
Glenlossie,50,46,9,1.39746146663,
Tamdhu,51,47,9,1.39746146663,
Belvenie,52,50,9,1.37979931651,
Balblair,53,51,9,1.35400640077,
Tomatin,54,52,9,1.35400640077,
Cardhu,55,54,9,1.29492442571,
Glengoyne,56,55,9,1.29492442571,
Glenrothes,57,56,9,1.29492442571,
Tomintoul,58,57,9,1.29492442571,
Tullibardine,59,58,9,1.29492442571,
Balmenach,60,59,9,1.28979852958,
Glendronach,61,60,9,1.28979852958,
Talisker,62,61,9,1.28979852958,
Clynelish,63,63,9,1.28452325787,
Glenallachie,64,64,9,1.24452825388,
Linkwood,65,66,9,1.24252148839,
Oban,66,53,8,1.35400640077,
Aultmore,67,65,8,1.24452825388,
Benriach,68,67,8,1.24252148839,
AnCnoc,69,68,8,1.21654485245,
Glenkinchie,70,69,8,1.20325363687,
GlenGrant,71,70,8,1.15600405775,
Tobermory,72,71,8,1.15600405775,
GlenGarioch,73,72,8,1.15470053838,
Strathmill,74,73,8,1.15470053838,
Tamnavulin,75,74,8,1.15470053838,
Dufftown,76,75,8,1.1328430312,
Bladnoch,77,77,8,1.08746033241,
GlenSpey,78,79,8,1.04880884817,
Speyburn,79,80,8,1.02844168901,
Miltonduff,80,82,8,0.977585678529,
Ardbeg,81,84,8,0.976550222065,
Laphroig,82,85,8,0.923822643077,Popular
Teaninich,83,78,7,1.08746033241,
Tormore,84,81,7,0.998186761881,
Auchentoshan,85,83,7,0.977585678529,
Glenfiddich,86,86,6,0.845926354862,Popular
